S-127,Syndicate Bank Colony Road,Magadi Road,KVRV Road,Prashanthanagara Colony,1,ORR -1
S-128,Prashanthanagara Road,Magadi Road,Nagarbhavi Main Road,"Kamakshipalya Industrial Area 
,Kaverinagar",3,ORR -3
S-129,Malegalu Main Road,Magadi Road,Mallathahalli Road,"Nagarbhavi 2nd Stage- Vinayaka 
Layout",4,"ORR -1
Raja 
-3
Rajeshwarinagara"
S-130,Dwarakavasa Road,Muddina Palya Road,BBMP Limit,BEL Layout,5,"Raja 
-5
Rajeshwarinagara"
S-131,Muggalipalya Road,Muddina Palya Road,BBMP Limit,BEL Layout,5,"Raja 
-5
Rajeshwarinagara"
S-132,Gidadakonnenahalli Road,ORR,Muddinapalya Road,Group D Layout,3,"Raja 
-3
Rajeshwarinagara"
S-133,Mallathahalli Road,ORR,Muddinapalya Road,Balaji Badavane,3,"Raja 
-3
Rajeshwarinagara"
S-134,"15th Main -9th Main -1st Cross 
(Vijayanagara 1st Stage)","K.V.R.V Road 
(Nagarabhavi)",Chord Road,"Vijayanagara 1st Stage- Hosahally 
Extension",3,ORR -3
S-135,Pipeline Road,"Chord Road @ Nethaji 
Layout","Chord Road @ near 
Magadi Road","Vijayanagara- Cholapuram- 
Ayurvedic College",4,ORR -4
S-136,20th Main Road (Vijayanagara),"2nd Cross Road 
Vijayanagara","Pipeline Road 
(Vijayanagara)",Vijayanagara,2,ORR -2
S-137,"2nd Cross Road (Chandra Layout- 
Vijayanagara)",Mysore Road,K.V.R.V Road,"Metro Layout, Chandra Layout- 
Attiguppe- Basaveshwara HBCS 
Layout- Kanakanagara",6,"ORR -5 
Raja 
-1
Rajeshwarinagara"
S-138,2nd Main Road (Kalyananagara),Nagarabhavi Main Road,"Nagarabhavi Main 
Road",Kalyananagara,2,ORR -2
S-139,Vijayanagara- Basaveshwara HBCS Layout,Nagarabhavi Main Road,Chord Road,"Vijayanagara- Basaveswara HBCS 
Layout",4,ORR -4
S-140,4th Cross Road (Vijayanagara),Chord Road,"20th Main Road 
(Vijayanagara)","Sharavathi- 2nd Stage, 
Vijayanagara",2,ORR -2
S-141,"22nd Main Road, 5th Main Road 
(Vijayanagara)",2nd Cross (Vijayanagara),"Pipeline Road, 
Vijayanagara","1st Stage, Vijayanagra",2,ORR -2
S-142,Hosahalli Main Road(Lokappa Road),Pipeline Road,Tank Bund Road,Jagajivanram Nagara,3,ORR -3
S-143,Binnipete Road,"Hosahalli Main Road 
(Lokappa Road)",T.C.M Royan Road,Binnipete,3,ORR -3
S-144,T.C.M Royan Road,Kempe Gowda Bus Stand,N.R. Road,Sultanpet- Cottonpet- Upparpet,2,ORR -2
SL .NO,NAME OF THE ROAD,ORIGIN,DESTINATION,ENROUTE (VIA),"APPR.  LENGTH 
(KM)",ZONE
S-145,Pipeline Road,Pipeline Road,"Kumaraswamy Temple 
Road","Mysore Road- Gavipuram 
Extension",4,ORR -4
S-146,Peenya 3rd Phase  Road,NH-4,"Hegganahalli Main 
Road",Peenya Industrial Suburb,3,Dasarahalli -3
S-147,1st Main Road (Peenya Industrial Area),High Tension Road,ORR @ Acharya ITI,Peenya Industrial Area - II Phase,5,Dasarahalli -5
S-148,Peenya Industral Area - IV Phase Road,Handrahalli Main Road,"Hegganahalli Main 
Road","Peenya Industrial Area II & III 
Stage",4,Dasarahalli -4
S-149,Tigalarapalya 2nd Main Road,"Handrahalli Main Road 
@ Raghavendra 
Industrial Estate","Peenya Industrial Area 
4th Main",Raghavendra Industrial Estate,2,Dasarahalli -2
