Ward_No,Ward Name,BBMP Zone No,BBMP Zone Name,Assembly constituency No,Assembly constituency name, MP Constituency ,Population 2011,Area (sq km),Households # (Census 2011),# Buildings > G+3,Road length (kms),DWCC #,Lakes #,Lake area (sq m),Parks #,Park area (sq m),Playgrounds #,Playground area (sq m),Govt Schools #,Police stations #,Fire stations #,Bus stops #,BMTC TTMC #,Street lights #,BWSSB service stn,BWSSB sub div,BWSSB divn,BESCOM sub divn,BESCOM divn,Police stn,BBMP Division,BBMP Sub Division,2011 HHs with Tubewells (%age),2011 HHs with Piped sewer(%),2011 HHs with tap water (%age), Population density 2011  (persons per sq km) ,Decadal popn growth rate % 2011/2001,Decadal HHs growth rate 2011/2001 %,Lake name,Bus routes #
122,Kempapura Agrahara,6,South,167,Vijaya Nagar,Bangalore South,40032,0.4,10051,161,16,1,0,0,1,4697.69,0,0,1,0,0,2,0,637,"Chamarajpet,  JJ Nagar, Magadi Road","V V Puram,R P C Layout","SOUTH-WEST, WEST","N1,W3","North,West",,Vijay Nagar,Vijay Nagar,0.2,96.3,95.8,"113,291",18.70%,32.30%,,51
123,Vijaya Nagar,6,South,167,Vijaya Nagar,Bangalore South,40331,0.7,9943,488,27,1,0,0,15,25178.8,3,13535,1,0,0,6,0,1636,"Bannapa Park, CLB-2,  CLB-1, VV Puram, Chamarajpet,  JJ Nagar","R P C Layout, Nagarabhavi (Ring Road)",WEST,"N1,N2",North,,Vijay Nagar,Vijay Nagar,3,99.6,95.3,"55,298",11.80%,22.70%,,137
124,Hosahalli,6,South,167,Vijaya Nagar,Bangalore South,37347,0.9,9068,446,33,1,0,0,12,24233.63,2,2441,1,0,0,6,0,1328,"K G Nagara, Chamarajpet,  JJ Nagar","V V Puram,R P C Layout,Nagarabhavi (Ring Road)","SOUTH-WEST, WEST","N1,N2,W3","North,West",,Vijay Nagar,Vijay Nagar,1.6,98.7,94.9,"42,373",16.30%,24.70%,,50
125,Marenahalli,6,South,166,Govindaraja Nagar,Bangalore South,21171,0.7,5423,339,23,1,0,0,15,25411.83,1,523,0,1,0,10,0,660,"K G Nagara, Chamarajpet,  Mount Joy, Nagendra Block,  Mysore Road","R P C Layout, Nagarabhavi (Ring Road)",WEST,N2,North,Vijayanagar,Govindaraj Nagar,Govindaraj Nagar,3.5,94.5,92.7,"30,709",5.50%,15.50%,,119
126,Maruthi Mandir Ward,6,South,166,Govindaraja Nagar,Bangalore South,29319,0.8,7716,331,26,1,0,0,14,22641.61,0,0,2,0,0,8,0,1850,"Sudhama Nagar, Bannapa Park, Johnson Market, VV Puram, Chamarajpet, Hombe Gowda nagar, Byrasandra ",Nagarabhavi (Ring Road),WEST,N2,North,,Govindaraj Nagar,Chandra Layout,5.2,98.5,92.4,"37,155",34.60%,46.70%,,126
127,Mudalapalya,6,South,166,Govindaraja Nagar,Bangalore South,43729,1,11125,410,37,1,0,0,6,11138.22,2,3682,3,0,0,8,0,1989,"Bannapa Park, CLB-2, K G Nagara, VV Puram, Chamarajpet  ",Nagarabhavi (Ring Road),WEST,N2,North,,Govindaraj Nagar,Chandra Layout,2.7,95.8,93.9,"45,077",78.60%,64.60%,,35
128,Nagarabhavi,6,South,166,Govindaraja Nagar,Bangalore South,35780,1.6,8255,456,45,1,0,0,27,59631.9,1,1148,8,1,0,28,0,2613,"K G Nagara, Chamarajpet, Mount Joy, MNK Park ",Nagarabhavi (Ring Road),WEST,"N2,W6","Additional West,North",Chandra Layout,Govindaraj Nagar,Chandra Layout,3,91.7,94.1,"22,406",76.50%,84.80%,,65
129,Jnana Bharathi Ward,4,Rajarajeshwari,154,Rajarajeswari Nagar,Bangalore North,68132,11.9,17410,1599,233,1,1,26961,99,284158.15,6,21880,9,1,0,76,0,5476,"K G Nagara, VV Puram, Chamarajpet, MNK Park, Hombe Gowda nagar, Byrasandra","Peenya,Nagarabhavi (Ring Road),R R Nagar","NORTH-WEST, WEST","N2,N6,W6,W7","Additional West,North",Jnana Bharathi,Rajarajeshwari Nagar,Rajarajeshwari Nagar,25.9,90.1,45.7,"5,743",163.20%,187.90%,Srigandhada kavalu,380
130,Ullalu,4,Rajarajeshwari,153,Yeshwantpura,Bangalore North,58199,8.7,14511,681,235,1,3,322706,47,125594.46,10,39300,4,0,0,42,0,4874,"Hombe Gowda nagar, Byrasandra","Nagarabhavi (Ring Road),R R Nagar","NORTH-WEST, WEST","N2,N6,W6,W7","Additional West,North",,Kengeri,Kengeri,36.2,58,29.9,"6,688",186.20%,208.70%,"Gandhinagara ( Hosakere),Dubasipalya (Valagerahalli),Ullalu",69
131,Nayandahalli,6,South,166,Govindaraja Nagar,Bangalore South,42785,2.1,10285,310,40,1,1,50838,8,24020.12,1,2142,2,0,0,10,0,1573,"Johnson Market, VV Puram, Hombe Gowda nagar, Byrasandra","R R Nagar,Nagarabhavi (Ring Road)",WEST,"N2,W6,W7","Additional West,North",,Govindaraj Nagar,Chandra Layout,3.1,83.4,82.9,"20,860",87.00%,98.10%,Nayandahalli,202
132,Attiguppe,6,South,167,Vijaya Nagar,Bangalore South,41487,1.4,10576,668,46,1,0,0,40,81136.01,3,6485,0,0,0,23,1,2327,"BTM I & II, MNK Park, Hombe Gowda nagar, Byrasandra, Jayanagar 4th 'T'  block, Jayanagar 4th block","R P C Layout,Nagarabhavi (Ring Road)",WEST,"N2,W6","Additional West,North",,Vijay Nagar,Gaali Anjaneya Temple,4.3,98.6,93.6,"29,971",54.80%,72.00%,,127
133,Hampi Nagar,6,South,167,Vijaya Nagar,Bangalore South,35113,1.1,8456,708,38,1,0,0,26,109500.03,1,4638,5,0,0,11,0,1581,"K G Nagara, Chamarajpet, Mount Joy","R P C Layout,Nagarabhavi (Ring Road)",WEST,"N1,N2,W3,W6","Additional West,North,West",,Vijay Nagar,Gaali Anjaneya Temple,3.3,97.6,94.6,"31,659",15.70%,25.50%,,173
134,Bapuji Nagar,6,South,167,Vijaya Nagar,Bangalore South,49484,0.7,10647,551,23,1,0,0,1,1701.55,2,3051,3,0,0,2,0,997,"Kathriguppe, Mount Joy, Nagendra Block, Mysore Road","V V Puram,R P C Layout","SOUTH-WEST, WEST","N1,N2,W3,W6","Additional West,North,West",,Vijay Nagar,Vijay Nagar,0.7,98.2,94.2,"72,549",36.60%,45.40%,,205
135,Padarayanapura,5,West,168,Chamarajpet,Bangalore Central,37599,0.3,7273,175,13,1,0,0,2,1113.78,1,940,0,0,0,0,0,865,"Kathriguppe, Mount Joy, MNK Park","V V Puram,R P C Layout","SOUTH-WEST, WEST","N1,W3","North,West",,Chamarajpete,Jagajeevanram Nagar,0,91.5,98.8,"118,059",6.80%,17.00%,,8
136,Jagajivanaram Nagar,5,West,168,Chamarajpet,Bangalore Central,38639,0.6,7751,361,20,1,0,0,3,24712.35,2,12734,3,1,0,5,0,950,"Kathriguppe,  Hosakerehalli, Girinagara, Nagendra Block","V V Puram,R P C Layout","SOUTH-WEST, WEST","W2,W3,W6","Additional West,West",JJ Nagar,Chamarajpete,Jagajeevanram Nagar,1,91,97.3,"60,762",14.50%,22.20%,,212
137,Rayapuram,5,West,168,Chamarajpet,Bangalore Central,36039,0.4,7549,193,16,1,0,0,2,15994.01,3,3495,4,0,0,5,0,952,"Kathriguppe, Ittamadu, Hosakerehalli, Mount Joy","V V Puram,R P C Layout","SOUTH-WEST, WEST","W2,W3","Additional West,West",,Chamarajpete,Jagajeevanram Nagar,0.4,94.9,96.3,"81,770",9.40%,26.90%,,213
138,Chelavadi Palya,5,West,168,Chamarajpet,Bangalore Central,24801,0.4,4896,99,14,1,0,0,0,0,0,0,8,0,0,8,0,656,"BSK-II, Devagiri I&II, Kathriguppe,  Ittamadu, Mount Joy","V V Puram,R P C Layout","SOUTH-WEST, WEST","W2,W3","Additional West,West",,Chamarajpete,Jagajeevanram Nagar,3.4,75.3,81.3,"62,762",-2.00%,5.10%,,220
139,KR Market,5,West,168,Chamarajpet,Bangalore Central,29344,0.8,5903,382,26,1,0,0,2,2071.95,0,0,9,2,0,10,0,1098,"PP Layout, Ittamadu,  Hosakerehalli ","Chicklalbagh,V V Puram","CENTRAL, SOUTH-WEST","W2,W3,W4,W5","Additional West,West","Victoria Hospital, City Market",Chamarajpete,Chamarajpete,4.6,81,87.3,"36,068",2.90%,7.60%,,470
140,Chamraja Pet,5,West,168,Chamarajpet,Bangalore Central,32213,1,7500,566,34,1,0,0,4,14484.13,2,11541,3,2,0,21,0,2137,"BSK-I, BSK-II, Devagiri I&II, Kathriguppe, MNK Park",V V Puram,SOUTH-WEST,"TANK,W2,W3,W5,W6","Additional West,TANK,West","Central, Chamarajpet",Chamarajpete,Chamarajpete,0.3,95,97.6,"30,976",-3.50%,5.30%,,431
141,Azad Nagar,5,West,168,Chamarajpet,Bangalore Central,38825,0.7,9246,338,26,1,0,0,5,10985.35,1,22255,2,0,1,4,0,1284,"BSK-I, Devagiri I&II, MNK Park,  J P Nanagara I phase","MNK Park,V V Puram,R P C Layout","SOUTH-WEST, WEST","TANK,W1,W2,W3,W6","Additional West,TANK,West",,Chamarajpete,Chamarajpete,2.3,96,91.1,"57,539",8.60%,20.30%,,88
142,Sunkenahalli,6,South,169,Chickpet,Bangalore South,34666,1.5,8643,792,50,0,0,0,11,64956.52,1,46755,3,1,0,14,0,1621,"Devagiri I&II, MNK Park, Jayanagar 4th block ","MNK Park,V V Puram",SOUTH-WEST,"TANK,W1,W2,W6","Additional West,TANK",Kempegowda nagar,Chikpete,Kempegowda Nagar,0.5,93.8,97.8,"23,137",-4.10%,3.40%,,229
143,Vishveshwara Puram,6,South,169,Chickpet,Bangalore South,32462,2.5,7361,752,52,2,0,0,5,641027.76,1,561,2,1,0,32,0,1563,"BSK-I, Kumarswamy Layout,  ISRO Layout, Devagiri I&II, J P Nanagara I phase","MNK Park,V V Puram,Jayanagar 4th Block",SOUTH-WEST,"S1,S2,W2,W5","Additional West,South,West",Shankarapuram,Chikpete,Kempegowda Nagar,4.9,99.2,93.1,"13,186",-10.10%,-2.50%,,490
144,Siddapura,6,South,169,Chickpet,Bangalore South,34879,0.7,7396,223,15,1,0,0,2,6153.28,2,3383,5,0,0,4,0,1225,"PP Layout, BSK-I, BSK-II,  Kumarswamy Layout, ISRO Layout",Jayanagar 4th Block,SOUTH-WEST,"S1,S2",South,,Chikpete,Hombegowda Nagar,1.4,87.5,92.1,"52,299",8.30%,14.60%,,330
145,Hombegowda Nagar,6,South,169,Chickpet,Bangalore South,38309,1.4,8948,633,36,1,0,0,7,21661.76,1,11309,5,1,0,17,0,1820,"BTM I & II, Johnson Market, Koramanagala, Hombe Gowda nagar ","Ulsoor,V V Puram,Jayanagar 4th Block","SOUTH EAST, SOUTH-WEST","S1,S2",South,Wilson Garden,Chikpete,Hombegowda Nagar,2.3,93.4,91.2,"27,202",5.10%,16.40%,,379
146,Lakkasandra,6,South,172,B.T.M. Layout,Bangalore South,30667,1.3,7229,417,29,1,0,0,3,5845.58,1,27536,0,0,1,17,0,1150,"Johnson Market, Koramanagala, Hombe Gowda nagar ","Koramangala,Ulsoor,Jayanagar 4th Block,BTM Laout","SOUTH EAST, SOUTH-WEST, SOUTH","S1,S2,S3,S4","Additional South,South",,BTM Layout,BTM Layout,1.5,95.7,94.2,"23,689",8.40%,21.80%,,317
147,Adugodi,6,South,172,B.T.M. Layout,Bangalore South,34299,1.6,8236,406,31,1,0,0,3,7985.17,2,52217,2,1,0,7,0,1645,"Johnson Market, CLR,  Koramanagala, Belandur","Koramangala,Ulsoor,Jayanagar 4th Block","SOUTH EAST, SOUTH-WEST",S4,Additional South,Adugodi,BTM Layout,Koramangala,4.3,96,88.3,"21,559",14.50%,26.00%,,61
148,Ejipura,6,South,172,B.T.M. Layout,Bangalore South,47004,1.9,12575,986,48,1,0,0,4,41156.48,0,0,9,0,0,17,1,1555,"BTM I & II, Koramanagala, Belandur,  Hombe Gowda nagar","Koramangala,Ulsoor",SOUTH EAST,"S3,S4,TANK","Additional South,TANK",,BTM Layout,Koramangala,6.1,95.7,90.2,"25,093",61.50%,84.00%,,68
149,Varthur,2,Mahadevapura,174,Mahadevapura,Bangalore Central,54625,28.3,14256,772,202,1,7,2380141,2,5099.53,0,0,11,1,0,65,0,2952,"BTM I & II,  Hombe Gowda nagar, Byrasandra, Jayanagar 4th 'T'  block",AECS Layout,EAST,"E4,S11,S7","Additional South,East,H.S.R Layout",Varthur,Mahadevapura,White Field,31.9,27.9,44.2,"1,929",117.90%,160.20%,"Chikkabellandur,Gunjuru Moji,Gunjuru Karmelaram,Gunjuru Palya,Panathur Kere - 38,Panathur Kere - 48,Varthur",115
150,Bellanduru,2,Mahadevapura,174,Mahadevapura,Bangalore Central,80180,26.4,22368,3008,249,1,11,4254612,43,105226.65,0,0,3,1,1,76,0,4984,"BSK-I, ISRO Layout, JP Nagar II,  J P Nanagara 3rd Phase, J P Nanagara I phase","AECS Layout,Koramangala,Ulsoor,Kodichikkanahalli","EAST, SOUTH EAST, SOUTH","S11,S3,S7,S8,TANK","Additional South,H.S.R Layout,TANK",Airport,Mahadevapura,Maarathahalli,21.4,74.3,57.9,"3,041",290.60%,374.50%,"Haralur,Junnasandra,Kasavanahalli,Doddakannelli,Kaikondanahalli,Ambalipura Melena Kere,Ambalipura Kelagena Kere,Soul Kere,Bhoganahalli,Devarabeesaranahalli,Bellandur",246
151,Koramangala,6,South,172,B.T.M. Layout,Bangalore South,38316,3.7,9719,948,71,1,1,39421,24,106228.99,2,24561,1,1,0,37,0,2447,"BTM I & II, HSR Layout, Belandur, Koramanagala ","Koramangala,Jayanagar 4th Block,BTM Laout","SOUTH EAST, SOUTH-WEST, SOUTH","S11,S3,S4,TANK","Additional South,H.S.R Layout,TANK",Koramangala,BTM Layout,Koramangala,5,96.1,89.9,"10,323",8.40%,17.10%,Mesthripalya,266
152,Suddagunte Palya,6,South,172,B.T.M. Layout,Bangalore South,39997,1.7,10933,1104,38,1,1,34894,5,66388.68,0,0,6,0,0,14,0,1645,"BTM I & II, Koramanagala, J P Nanagara 3rd Phase ","Jayanagar 4th Block,BTM Laout","SOUTH-WEST, SOUTH","S1,S4","Additional South,South",,BTM Layout,BTM Layout,2.9,96.7,93.3,"23,063",11.40%,31.00%,Tavarekere,293
153,Jaya Nagar,6,South,169,Chickpet,Bangalore South,38151,2.5,8427,571,47,1,1,47634,13,278469.24,1,447,1,2,0,18,0,1940,"Devagiri I&II,  Jayanagar 4th 'T'  block, Jayanagar 4th block","MNK Park,Jayanagar 4th Block,BTM Laout","SOUTH-WEST, SOUTH","S1,S4,W2","Additional South,South,Additional West","Basavanagudi, Siddapura",Chikpete,Hombegowda Nagar,2.2,91.4,90.4,"15,288",6.10%,17.80%,Bairasandra/Chikkapete,493
154,Basavanagudi,6,South,170,Basavanagudi,Bangalore South,32640,1.2,8624,676,38,1,0,0,6,82110.53,3,13073,3,1,0,14,0,2099,"Hombe Gowda nagar, Byrasandra, Jayanagar 4th 'T'  block,  Jayanagar 4th block","Banagiri Nagar,MNK Park",SOUTH-WEST,"S9,W1,W2","Additional West,South",Thyagaraja Nagar,Basavanagudi,Basavanagudi,3.3,90.3,89.9,"28,071",-9.40%,-2.70%,,153
155,Hanumanth Nagar,6,South,170,Basavanagudi,Bangalore South,36982,1,9483,440,30,1,1,142074,11,174614.82,0,0,1,0,0,6,0,1571,"BSK-I, Devagiri I&II,  J P Nanagara 3rd Phase, Jayanagar 4th 'T'  block, Jayanagar 4th block, J P Nanagara I phase","MNK Park,V V Puram",SOUTH-WEST,"TANK,W1,W2,W6","Additional West,TANK",,Basavanagudi,Basavanagudi,4.2,98.3,94,"37,440",5.50%,13.10%,Kempambudikere,69
156,Sri Nagar,6,South,170,Basavanagudi,Bangalore South,41379,0.8,10574,387,29,1,0,0,3,15020.35,1,9970,2,0,0,11,0,1302,"AECS Layout-1, HSR Layout, Domlur, Belandur","Banagiri Nagar,MNK Park,R P C Layout",SOUTH-WEST,"S9,W1,W6","Additional West,South",,Basavanagudi,Girinagar,2.4,95.9,96.7,"51,685",14.80%,22.70%,,74
157,Gali Anjenaya Temple Ward,6,South,167,Vijaya Nagar,Bangalore South,34653,1.1,8668,380,34,1,0,0,3,9604.91,0,0,5,1,0,7,0,1225,"Hoodi, AECS Layout-1, Devasandra, Vignana Nagar ","MNK Park,V V Puram,R P C Layout,Nagarabhavi (Ring Road)","SOUTH-WEST, WEST","W1,W6",Additional West,Byatarayanapura,Vijay Nagar,Gaali Anjaneya Temple,10.9,93.6,84.1,"30,439",27.10%,36.70%,,98
158,Deepanjali Nagar,6,South,167,Vijaya Nagar,Bangalore South,45928,2.1,11676,486,50,1,1,14831,13,49701.82,2,1273,8,0,0,18,0,1819,"Hoodi, AECS Layout-1","Banagiri Nagar,MNK Park,R R Nagar,R P C Layout,Nagarabhavi(Ring Road)","SOUTH-WEST, WEST","N2,S9,W1,W6","Additional West,North,South",,Vijay Nagar,Gaali Anjaneya Temple,7.8,91,84.3,"21,980",48.50%,59.50%,Deepanjali Kere,287
159,Kengeri,4,Rajarajeshwari,153,Yeshwantpura,Bangalore North,40771,5.1,10168,344,99,1,1,100808,27,121034.87,4,17072,4,0,0,34,1,4712,"AECS Layout-1, Hoodi","Nagarabhavi (Ring Road),R R Nagar","NORTH-WEST, WEST",W7,Additional West,,Kengeri,Kengeri,10.2,90.6,70.8,"7,980",63.90%,74.40%,Kengeri,173
160,Raja Rajeshawari Nagar,4,Rajarajeshwari,154,Rajarajeswari Nagar,Bangalore North,56897,11.1,14408,1373,223,2,6,372956,48,258269.69,10,63285,2,1,0,81,1,5870,"AECS Layout-1, Vignana Nagar, DODDANEKUNDI, Domlur, JB Nagar ","Banagiri Nagar,MNK Park,R R Nagar,Nagarabhavi (Ring Road)","SOUTH-WEST, SOUTH, WEST","S5,S9,W6,W7","Additional West,South",Rajarajeshwari Nagar,Rajarajeshwari Nagar,Rajarajeshwari Nagar,22.3,91.7,66.1,"5,112",144.40%,160.90%,"Bheemanakatte Kunte (Arehalli - 1),Bovimaranahalli,Halagevaderahalli,Pattanagere/Kenchenahalli,Hosakerehalli,Gundopanth",205
161,Hosakerehalli,6,South,171,Padmanaba Nagar,Bangalore South,46805,1.3,12122,708,46,1,0,0,6,10857.73,1,1636,0,1,0,18,0,1906,"AECS Layout-1, BTM I & II,  HSR Layout, Kodichikkanahalli, HSR   ayout, Koramanagala, Belandur",Banagiri Nagar,"SOUTH-WEST, SOUTH","S5,S9",South,Girinagar,Padmanabh Nagar,Padmanabh Nagar,6.2,98.2,89.3,"34,776",120.90%,137.60%,,70
162,Giri Nagar,6,South,170,Basavanagudi,Bangalore South,43195,1.8,11180,761,55,1,0,0,9,40892.4,2,7112,1,0,0,23,0,2138,"VIjaya Bank Layout, BTM I & II, HSR Layout,  Kodichikkanahalli, Koramanagala","Banagiri Nagar,MNK Park",SOUTH-WEST,"S9,W1","Additional West,South",,Basavanagudi,Girinagar,7.6,98.8,90.5,"24,537",23.70%,33.40%,,95
163,Katriguppe,6,South,170,Basavanagudi,Bangalore South,45572,1.1,11997,608,38,1,0,0,7,11275.15,2,5579,0,0,0,14,0,1421,"ISRO Layout, Kothanurdinne,  JP Nagar II","Banagiri Nagar,MNK Park",SOUTH-WEST,"S9,W1","Additional West,South",,Basavanagudi,Girinagar,7,96.8,91.3,"41,071",27.50%,35.50%,,88
164,Vidya Peeta Ward,6,South,170,Basavanagudi,Bangalore South,43483,1.2,11425,551,42,1,0,0,9,18661.4,3,47870,0,2,0,14,1,1758,"Kothanurdinne, JP Nagar II","Banagiri Nagar,MNK Park","SOUTH-WEST, SOUTH","S9,W1","Additional West,South","CK Achukattu, Hanumanth Nagar",Basavanagudi,Basavanagudi,7.6,98.4,87.7,"35,279",25.90%,39.20%,,88
165,Ganesh Mandir Ward,6,South,171,Padmanaba Nagar,Bangalore South,25998,1.6,6472,598,45,1,0,0,12,55496.99,2,7391,2,1,1,16,0,1660,"Kothanurdinne, VIjaya Bank Layout, JP Nagar II,  BTM I & II, Kodichikkanahalli, J P Nanagara 3rd Phase","Banagiri Nagar,MNK Park","SOUTH-WEST, SOUTH","S9,W1","Additional West,South",Banasankari,Padmanabh Nagar,Padmanabh Nagar,3.5,94.4,94.7,"15,979",12.50%,21.00%,,111
166,Kari Sandra,6,South,171,Padmanaba Nagar,Bangalore South,27040,1.1,6492,455,31,1,1,64024,3,6474.54,2,19210,2,0,0,24,1,1910,"HSR Layout,Kodichikkanahalli ","Banagiri Nagar,MNK Park,Jayanagar 4th Block","SOUTH-WEST, SOUTH","S1,S5,S9,W1","Additional West,South",,Padmanabh Nagar,Banashankari,0.2,97.6,97.6,"24,444",-10.50%,3.30%,Karisandra,274
167,Yediyur,6,South,171,Padmanaba Nagar,Bangalore South,32756,1.2,8455,750,41,1,1,48006,7,39981.46,3,5656,0,0,0,15,1,1650,"HSR Layout, Kodichikkanahalli","Banagiri Nagar,MNK Park,Jayanagar 4th Block",SOUTH-WEST,"S1,S9,W1,W2","Additional West,South",,Padmanabh Nagar,Banashankari,6.6,99.8,90.2,"26,683",-5.30%,3.70%,Yadiyuru,262
168,Pattabhi Ram Nagar,6,South,173,Jaya Nagar,Bangalore South,28353,1.7,7163,1006,43,1,0,0,22,143122.14,4,25276,3,1,0,19,0,1970,"HSR Layout, Kodichikkanahalli","Banagiri Nagar,Jayanagar 4th Block",SOUTH-WEST,"S1,S6",South,Jayanagar,Jayanagar,Jayanagar,0.8,99.7,91.9,"16,438",-8.50%,1.60%,,315
169,Byra Sandra,6,South,173,Jaya Nagar,Bangalore South,32066,0.9,7423,508,26,1,0,0,6,74419.84,0,0,2,1,0,5,1,2100,"Kothanurdinne, VIjaya Bank Layout,  Kodichikkanahalli",Jayanagar 4th Block,SOUTH-WEST,S1,South,Tilak Nagar,Jayanagar,Jayanagar,2.1,91.8,92.8,"36,971",4.70%,15.10%,,117
170,Jaya Nagar East,6,South,173,Jaya Nagar,Bangalore South,33927,1,7961,880,29,1,0,0,16,19433.78,1,3102,3,0,0,15,0,1390,"PP Layout,  BSK-II, Kumarswamy Layout, ISRO Layout, Ittamadu, Hosakerehalli,  Ittamadu, BEML Layout","Jayanagar 4th Block,BTM Laout","SOUTH-WEST, SOUTH","S1,S4,S6","Additional South,South",,Jayanagar,Jayanagar,1.2,95.3,92.7,"32,869",10.00%,22.50%,,236
171,Gurappana Palya,6,South,173,Jaya Nagar,Bangalore South,48991,0.7,10513,856,24,1,0,0,1,2582.31,0,0,3,0,0,6,0,1440,"Kumarswamy Layout, ISRO Layout, Kothanurdinne, JP Nagar II",BTM Laout,SOUTH,"S4,S6","Additional South,South",,Jayanagar,Jayanagar,1,99.2,93.8,"72,068",36.70%,53.90%,,168
172,Madivala,6,South,172,B.T.M. Layout,Bangalore South,42624,1.2,11517,1362,41,1,0,0,6,16992.96,0,0,3,0,0,14,0,1418,"Kothanurdinne, VIjaya Bank Layout, HSR Layout,  Kodichikkanahalli","Koramangala,BTM Laout","SOUTH EAST, SOUTH","S4,S6,S8","Additional South,H.S.R Layout,South",,BTM Layout,BTM Layout,7.6,95.7,14.7,"36,612",21.20%,41.30%,,116
173,Jakka Sandra,6,South,172,B.T.M. Layout,Bangalore South,33521,1.5,9040,623,34,1,0,0,6,39423.63,1,1555,5,1,0,13,0,1386,Kothanurdinne,"Koramangala,BTM Laout,Kodichikkanahalli","SOUTH EAST, SOUTH","S11,S4,S8","Additional South,H.S.R Layout",Madivala,BTM Layout,Koramangala,3.5,96.2,88,"22,020",39.20%,59.70%,,316
174,HSR Layout,8,Bommanahalli,175,Bommana Halli,Bangalore South,63033,7.1,16847,2367,141,3,2,437845,39,251459.85,6,29784,3,1,0,52,1,4737,"Kothanurdinne, JP Nagar II","AECS ayout, Koramangala, BTM Laout,Kodichikkanahalli","EAST, SOUTH EAST, SOUTH","S11,S8,TANK","H.S.R Layout,TANK",HSR Layout,Bommanahalli,Bommanahalli,10.9,95,79.9,"8,879",154.70%,182.90%,"Venkoji Rao,Ibbaluru",297
175,Bommanahalli,8,Bommanahalli,175,Bommana Halli,Bangalore South,43585,1.8,11368,771,49,0,0,0,1,2491.58,1,2847,3,0,0,16,0,2243,Kothanurdinne,"Koramangala,Kothanurdinne,BTM Laout,Kodichikkanahalli","SOUTH EAST, SOUTH","S10,S6,S8,TANK","H.S.R Layout,South,TANK",,Bommanahalli,Bommanahalli,14.1,84.9,68.3,"23,819",79.30%,92.80%,,95
176,BTM Layout,6,South,172,B.T.M. Layout,Bangalore South,52250,2.1,14540,1608,64,0,0,0,20,74005.24,4,28324,2,2,0,13,0,2450,"Yelahanaka Old Town, Jakkur","Koramangala,Jayanagar 4th Block,BTM Laout","SOUTH EAST, SOUTH-WEST, SOUTH","S6,S8,TANK","H.S.R Layout,South,TANK",Mico Layout,BTM Layout,BTM Layout,7.3,95.6,70.6,"24,688",51.70%,77.10%,,235
177,JP Nagar,6,South,173,Jaya Nagar,Bangalore South,28846,1.8,7566,1109,48,1,1,193938,22,51484.18,5,17302,1,1,0,24,0,1660,"Heggana Halli, Vishveshwaraiah layout, Chandra Layout, Nagarabhavi, BEML Layout, Ideal Homes Layout, Kengeri, Ideal  homes Layout, Kengeri","Jayanagar 4th Block,Kothanurdinne,BTM Laout","SOUTH-WEST, SOUTH","S1,S10,S6","H.S.R Layout,South",JP Nagar,Jayanagar,J.P Nagar,0.7,87,89.7,"15,915",1.20%,14.00%,Doresanipalaya,262
178,Sarakki,6,South,173,Jaya Nagar,Bangalore South,31034,1.3,7985,667,39,1,0,0,16,44893.78,3,28577,1,0,0,18,0,1910,"BTM I & II, J P Nanagara 3rd Phase, Jayanagar 4th 'T'  block ","Jayanagar 4th Block,Kothanurdinne,Banagiri Nagar.","SOUTH-WEST, SOUTH","S5,S6",South,,Jayanagar,J.P Nagar,1.2,99.7,95.9,"23,305",16.20%,28.30%,,138
179,Shakambari Narar,6,South,173,Jaya Nagar,Bangalore South,25871,1.9,6537,605,41,0,0,0,12,79555.72,2,26199,5,0,0,26,0,1625,BTM I & II,"Banagiri Nagar,Jayanagar 4th Block","SOUTH-WEST, SOUTH","S1,S5,S6,S9",South,,Jayanagar,J.P Nagar,1.7,89.9,97.3,"13,946",11.30%,19.80%,,289
180,Banashankari Temple Ward,6,South,171,Padmanaba Nagar,Bangalore South,42171,0.7,9461,442,28,1,0,0,3,3144.91,0,0,3,0,0,9,0,1522,"PP Layout,  BSK-II, Ittamadu, Hosakerehalli","Banagiri Nagar,Jayanagar 4th Block","SOUTH-WEST, SOUTH","S5,S6,S9",South,,Padmanabh Nagar,Banashankari,1.2,96.3,95.2,"61,696",24.00%,32.10%,,215
181,Kumara Swamy Layout,6,South,171,Padmanaba Nagar,Bangalore South,47182,1.8,11881,1072,60,1,0,0,23,95893.52,3,8167,2,1,0,30,0,1915,"BTM I & II, Koramanagala",Banagiri Nagar,SOUTH,"S5,S9",South,KS Layout,Padmanabh Nagar,Banashankari,1.6,96.2,97.1,"25,514",33.30%,44.00%,,115
182,Padmanabha Nagar,6,South,171,Padmanaba Nagar,Bangalore South,41037,1.7,10771,985,53,1,2,37449,14,39498.18,9,35028,0,0,0,11,0,1805,"Ramamurthy Nagar,Vijnanapura, K.R.Puram",Banagiri Nagar,"SOUTH-WEST, SOUTH","S5,S9",South,,Padmanabh Nagar,Padmanabh Nagar,2.6,98.7,93.6,"24,311",61.20%,75.60%,"Gowdanapalya (Kadirenahalli),Chikka kallasandra",79
